label,municipality_name,lat,lon,osn_user_count,rsn_population,location_x,location_y
GM0518,'s-Gravenhage,52.068302953391175,4.3008689268594456,187528,487868,80514.86914796232,453892.0891135841
GM0796,'s-Hertogenbosch,51.71509296696626,5.3248008276238945,54761,139673,150687.5874008488,414040.05279063736
GM1680,Aa en hunze,52.9930092224825,6.727259873525872,9058,25561,244975.06374407985,557062.1821803377
GM0738,Aalburg,51.74582033390609,5.06520469223121,3328,12615,132762.58808253738,417505.9079638099
GM0358,Aalsmeer,52.257741728357,4.755119644226209,10192,29189,111843.66555955193,474600.0317958252
GM0197,Aalten,51.9217970540805,6.560425431428303,8715,27501,235705.6272867601,437686.747893414
GM0305,Abcoude,52.26434111175884,4.9776921480038085,2780,8768,127044.08100236536,475225.1657131006
GM0059,Achtkarspelen,53.21666774528679,6.143109796424492,10502,28090,205493.89773068525,581381.4131013136
GM0482,Alblasserdam,51.86459645126224,4.665851085088727,6053,19012,105314.37448055792,430917.5530812743
GM0613,Albrandswaard,51.85205937439199,4.435879987468635,7783,24209,89456.6049183652,429705.0119216794
GM0361,Alkmaar,52.638111222488355,4.752585897816083,41074,93849,112041.49462558472,516922.8703932076
GM0141,Almelo,52.34785560481493,6.658189977420745,32111,72592,241599.97183594148,485198.11082269327
GM0034,Almere,52.36713213365074,5.246538313490305,85257,188127,145419.3971667207,486592.4569736235
GM0484,Alphen aan den rijn,52.13033118851005,4.687403976688834,26559,72528,107083.65887474852,460467.10776731017
GM1723,Alphen-chaam,51.50137319574532,4.887422079104484,2875,9417,120298.28459804568,390380.2585191054
GM0060,Ameland,53.450400050400546,5.754803344819235,1150,3501,179422.5564310573,607191.917928965
GM0307,Amersfoort,52.173632434081306,5.384742116830035,58582,144849,154831.62169086662,465053.88665860856
GM0362,Amstelveen,52.289291214851445,4.851459504172153,23827,80679,118447.23030378437,478057.2874156236
GM0363,Amsterdam,52.372657050935025,4.8902543553751965,387288,767399,121157.6806292297,487313.8990308746
GM0364,Andijk,52.734543293898355,5.216480333799185,2116,6507,143468.5441582833,527478.3380476444
GM0366,Anna paulowna,52.85526083232273,4.841375443039902,5104,14236,118234.18133389454,541036.5648500122
GM0200,Apeldoorn,52.18984074067888,5.921939513184398,58668,155718,191565.55029462292,466992.0951389347
GM0003,Appingedam,53.31707532006281,6.8496413610461016,4586,12036,252459.4070866349,593281.125556285
GM0202,Arnhem,52.00102309779399,5.892635469986589,68925,146985,189708.07802203123,445970.364076333
GM0106,Assen,53.00125769464935,6.552427915648737,30439,66859,233222.28622658143,557776.1531800999
GM0743,Asten,51.38635485661106,5.779233872463028,4533,16337,182289.3375081032,377538.8311556466
GM0744,Baarle-nassau,51.4390022919304,4.893102125376216,2433,6702,120645.65100271604,383438.8352601932
GM0308,Baarn,52.203823896589164,5.2641809000506035,8163,24321,146590.2184083956,468420.1294475909
GM0489,Barendrecht,51.85106641341258,4.525372771316445,16001,46444,95620.88189954044,429517.6738723451
GM0203,Barneveld,52.168319139626036,5.64187906963681,17321,52477,172423.3512033723,464493.3446995
GM0005,Bedum,53.29483915882846,6.597144327835585,3758,10446,235675.3538802697,590494.255035109
GM0888,Beek,50.93087249788963,5.809056781913671,4995,16575,184658.03457235653,326878.61605240015
GM0370,Beemster,52.557655572289924,4.916901530599358,2341,8585,123105.99696557903,507885.7260316083
GM0889,Beesel,51.26919311410738,6.068888373031078,4588,13902,202573.60687153216,364653.3892781703
GM0007,Bellingwedde,53.09860513730959,7.1211755896949365,2945,9258,271137.95506523806,569374.4645666925
GM0491,Bergambacht,51.942383389989764,4.755975216500633,2839,9726,111597.02069661282,439513.8654665389
GM1724,Bergeijk,51.31016354477138,5.339992377222454,5462,18055,151708.36196339756,368990.1625869132
GM0893,Bergen (l.),51.5918386404637,6.0894347949604395,3338,13390,203661.68385610744,400560.5053857742
GM0373,Bergen (nh.),52.662776020602806,4.670591073163385,8847,30976,106518.43253305805,519719.1128300904
GM0748,Bergen op zoom,51.50348757898563,4.288337082774659,24229,65802,78706.47689469547,391071.61101998034
GM1859,Berkelland,52.10085680270561,6.57088526933343,14259,44975,236100.37236993844,457618.3742519755
GM1721,Bernheze,51.684664294552846,5.520725306041017,9735,29643,164233.75014835873,410661.4084665281
GM0568,Bernisse,51.82889771381156,4.2407740314433156,4364,12455,75974.44548147614,427322.27818913147
GM0753,Best,51.51367066290793,5.396452390928566,10241,28936,155642.1801663162,391629.50337546127
GM0209,Beuningen,51.86279967090548,5.7402190490854705,8278,25483,179316.44855651315,430530.3508318866
GM0375,Beverwijk,52.48395643438229,4.653764525792276,15721,38880,105178.4218290213,499834.0292622857
GM0585,Binnenmaas,51.795111503529476,4.535190352724259,8760,28916,96224.35629758245,423284.73613564
GM1728,Bladel,51.37226193696411,5.2387938055173455,5528,19183,144666.21356615404,375908.0707923103
GM0376,Blaricum,52.27936364643827,5.259488821488582,3090,8961,146284.25417078266,476825.382138752
GM0377,Bloemendaal,52.38167642097923,4.585951699420882,5456,22022,100446.2287518254,488503.0181557588
GM0055,Boarnsterhim,53.089977201795016,5.836668580847709,6380,19355,185111.99309227627,567111.2101999659
GM0497,Bodegraven,52.088556210529205,4.774360326075304,6724,19433,112998.3520085858,455765.5224484021
GM0755,Boekel,51.60663191936483,5.693791056800031,2857,9773,176238.5643582333,402016.3456727251
GM0064,Bolsward,53.064111938788606,5.524488066588889,3640,9903,164202.76488504297,564147.6479707898
GM1681,Borger-odoorn,52.90587307603361,6.871991242985501,9757,26027,254891.35159889163,547557.3408404336
